title,company,company_size,industry,type,salary,company_type,source,experience,education,salary2
招聘数据分析师,北京越铖国际科技有限公司,20-99人,人事/行政/高级管理,全职,8000-12000,民营,斗米,不限,不限,10000.0
数据分析师,北京新东方教育科技（集团）有限公司,,计算机/互联网/信息技术,全职,12000-20000,民营,OFweek人才网,不限,不限,16000.0
数据分析师(新浪),新浪网技术(中国)有限公司,2000-5000人,数据分析师,全职,20000-25000,外商独资/办事处,猎聘,3-5年,本科,22500.0
数据分析师,北京美科思远环境科技有限公司,20-99人,环保/环境科学类,全职,12000-20000,股份制,北极星招聘,不限,硕士,16000.0
助理、临床样本库采样人员、软件工程师、数据库管理工程师、机械设计与结构工程师、Android/iOS应用开发工程师、嵌入式开发工程师、AI算法工程师、统计信息服务、运营管理、绩效管理、卫生政策研究、数据分析、医疗质控助理员、标准化管理专员、物价核算、挂号收费员、档案管理、助理研究员、技师、临床医师、,中国人民解放军总医院（北京市解放军医学院）,,医疗,全职,面议,公立医院,康强医疗人才网,不限,不限,
数据分析师,世纪易联（北京）科技有限公司,,计算机/互联网/信息技术,全职,5000-8000,民营,OFweek人才网,不限,本科,6500.0
BI数据分析师(贝壳找房(北京)科技有限公司),贝壳找房(北京)科技有限公司,1000-2000人,数据分析师,全职,12000-20000,民营,猎聘,5-10年,本科,16000.0
大气源解析数据分析工程师,北京博赛德科技有限公司,20-99人,环保/环境科学类,全职,12000-20000,个人企业,北极星招聘,1-3年,硕士,16000.0
数据分析师,北京陆秦网络科技有限公司,,计算机/互联网/信息技术,全职,8000-12000,民营,OFweek人才网,不限,不限,10000.0
数据分析师-dell公司（北京）,北京易微管理咨询有限公司,,计算机/互联网/信息技术,全职,8000-12000,民营,OFweek人才网,不限,不限,10000.0
数据分析师(国美在线),国美在线电子商务有限公司,2000-5000人,数据分析师,全职,12000-20000,上市公司,猎聘,3-5年,硕士,16000.0
高级数据分析工程师—故障预报方向,金风风电产业集团—客户服务中心,20-99人,质量管理/安全防护类,全职,20000-25000,民营,北极星招聘,3-5年,硕士,22500.0
数据分析师,北京厨芯科技有限公司,,计算机/互联网/信息技术,全职,8000-12000,民营,OFweek人才网,不限,不限,10000.0
数据分析师-呼叫中心方向(优信集团),优舫(北京)信息科技有限公司,5000-10000人,数据分析师,全职,12000-20000,民营,猎聘,3-5年,本科,16000.0
数据分析师(小米),小米科技有限责任公司,10000人以上,数据分析师,全职,20000-25000,民营,猎聘,1-3年,本科,22500.0
质控中心-数据分析高级工程师,金风风电产业集团—客户服务中心,20-99人,质量管理/安全防护类,全职,20000-25000,民营,北极星招聘,3-5年,本科,22500.0
大数据挖掘分析师储干,深圳歌华工艺饰品有限公司,,其它,全职,5000-8000,民营,OFweek人才网,不限,不限,6500.0
数据分析师(炫一下(北京)科技有限公司),分享一下(北京)科技有限公司,500-999人,数据分析师,全职,12000-20000,民营,猎聘,1-3年,本科,16000.0
数据分析师(北京乐纯悠品食品科技有限公司),北京乐纯悠品食品科技有限公司,100-499人,IT/互联网,全职,20000-25000,中外合资/合作,猎聘,3-5年,本科,22500.0
高级数据分析工程师-成本方向,金风风电产业集团—客户服务中心,20-99人,质量管理/安全防护类,全职,20000-25000,民营,北极星招聘,3-5年,硕士,22500.0
数据分析师,北京哈米科技有限公司,,计算机/互联网/信息技术,全职,8000-12000,民营,OFweek人才网,不限,不限,10000.0
数据分析师(北京易点淘网络技术有限公司),北京易点淘网络技术有限公司,1000-2000人,用户运营,全职,12000-20000,民营,猎聘,1-3年,本科,16000.0
数据分析师(睿智合创(北京)科技有限公司),睿智合创(北京)科技有限公司,100-499人,数据分析师,全职,12000-20000,民营,猎聘,3-5年,硕士,16000.0
数据分析师,北京水象科技有限公司,,计算机/互联网/信息技术,全职,8000-12000,民营,OFweek人才网,不限,硕士,10000.0
数据分析师,字节跳动,,计算机/互联网/信息技术,全职,12000-20000,民营,OFweek人才网,不限,不限,16000.0
数据分析师7484(车好多集团),车好多旧机动车经纪(北京)有限公司,10000人以上,数据分析师,全职,12000-20000,民营,猎聘,1-3年,本科,16000.0
BI 数据分析师(北京未来橙网络科技有限公司),北京未来橙网络科技有限公司,100-499人,数据分析师,全职,12000-20000,民营,猎聘,3-5年,本科,16000.0
